ProdutoID;Produtos;Subcategoria;Categoria;VendalD;Data;ProdutoID;Quantidade;Receita;Custo;Lucro;Regiao;Vendedor;Tipo Perda;Valor Perda;Status da Venda;
62;Vestido Casual;Roupas;Roupas;61;04/11/2016;62;3;R$ 7.938,00;R$ 6.350,40;R$ 1.587,60;Norte;Juliana;Cancelamento;R$ 168,00;Com Perda;
26;Teclado Logitech;Acessórios;Informática;37;09/12/2015;26;1;R$ 893,00;R$ 473,29;R$ 419,71;Centro-Oeste;André;Desconto;R$ 62,00;Com Perda;
9;Motorola Edge 30;Smartphones;Eletrônicos;67;20/10/2022;9;7;R$ 20.937,00;R$ 12.562,20;R$ 8.374,80;Sul;Bruno;Sem perda;R$ 0,00;Com Perda;
81;Bateria Automotiva;Automotivo;Automotivo;68;16/09/2016;81;10;R$ 12.720,00;R$ 8.395,20;R$ 4.324,80;Sudeste;Ana;Sem perda;R$ 0,00;Com Perda;
37;Air Fryer Philips;Eletrodomésticos;Casa;34;14/07/2015;37;8;R$ 38.160,00;R$ 30.146,40;R$ 8.013,60;Nordeste;Rafael;Sem perda;R$ 0,00;Com Perda;
93;Monitor Samsung 27;Informática;Informática;76;05/05/2023;93;5;R$ 21.875,00;R$ 16.406,25;R$ 5.468,75;Sul;Maria;Sem perda;R$ 0,00;Com Perda;
89;Impressora HP;Informática;Informática;81;21/11/2015;89;7;R$ 4.739,00;R$ 3.317,30;R$ 1.421,70;Centro-Oeste;Carla;Desconto;R$ 100,00;Com Perda;
73;Halter 5kg;Esportes;Esportes;77;09/09/2025;73;8;R$ 9.608,00;R$ 5.764,80;R$ 3.843,20;Sudeste;Ana;Sem perda;R$ 0,00;Com Perda;
92;Monitor LG 24;Informática;Informática;57;16/11/2015;92;6;R$ 26.970,00;R$ 16.991,10;R$ 9.978,90;Sul;Lucas;Desconto;R$ 359,00;Com Perda;
25;Teclado Mecânico Redragon;Acessórios;Informática;2;21/06/2016;25;3;R$ 13.323,00;R$ 6.661,50;R$ 6.661,50;Nordeste;Carlos;Sem perda;R$ 0,00;Com Perda;
94;Roteador Wi-Fi;Informática;Informática;9;21/09/2018;94;8;R$ 32.048,00;R$ 16.344,48;R$ 15.703,52;Sul;Maria;Devolução;R$ 67,00;Com Perda;
61;Jaqueta de Couro;Roupas;Roupas;64;08/09/2023;61;6;R$ 13.698,00;R$ 9.040,68;R$ 4.657,32;Sudeste;João;Desconto;R$ 57,00;Com Perda;
70;Bola de Futebol;Esportes;Esportes;78;01/03/2022;70;6;R$ 27.624,00;R$ 17.679,36;R$ 9.944,64;Nordeste;Carlos;Cancelamento;R$ 408,00;Com Perda;
81;Bateria Automotiva;Automotivo;Automotivo;50;02/08/2020;81;8;R$ 34.872,00;R$ 17.784,72;R$ 17.087,28;Norte;Paula;Sem perda;R$ 0,00;Com Perda;
52;Tênis Adidas;Calçados;Calçados;82;13/10/2017;52;1;R$ 1.232,00;R$ 850,08;R$ 381,92;Norte;Marcos;Devolução;R$ 137,00;Com Perda;
4;Samsung Galaxy S21;Smartphones;Eletrônicos;20;27/01/2024;4;1;R$ 582,00;R$ 366,66;R$ 215,34;Centro-Oeste;André;Desconto;R$ 288,00;Com Perda;
24;Mouse Gamer Redragon;Acessórios;Informática;31;21/05/2019;24;6;R$ 7.152,00;R$ 5.006,40;R$ 2.145,60;Centro-Oeste;Diego;Sem perda;R$ 0,00;Com Perda;
67;Hidratante Corporal;Beleza;Beleza;8;23/07/2022;67;5;R$ 5.265,00;R$ 3.527,55;R$ 1.737,45;Nordeste;Rafael;Sem perda;R$ 0,00;Com Perda;
77;Pneu Aro 13;Automotivo;Automotivo;31;05/09/2020;77;6;R$ 8.844,00;R$ 4.864,20;R$ 3.979,80;Nordeste;Carlos;Desconto;R$ 168,00;Com Perda;
37;Air Fryer Philips;Eletrodomésticos;Casa;4;05/09/2015;37;1;R$ 546,00;R$ 283,92;R$ 262,08;Sul;Maria;Desconto;R$ 217,00;Com Perda;
35;Microondas LG;Eletrodomésticos;Casa;3;11/12/2025;35;7;R$ 20.531,00;R$ 15.808,87;R$ 4.722,13;Norte;Juliana;Devolução;R$ 171,00;Com Perda;
17;Notebook Dell Inspiron;Notebooks;Informática;100;17/01/2017;17;1;R$ 675,00;R$ 479,25;R$ 195,75;Norte;Juliana;Sem perda;R$ 0,00;Com Perda;
59;Camiseta Básica;Roupas;Roupas;92;20/07/2016;59;5;R$ 4.470,00;R$ 3.129,00;R$ 1.341,00;Sul;Lucas;Cancelamento;R$ 418,00;Com Perda;
81;Bateria Automotiva;Automotivo;Automotivo;88;05/10/2019;81;8;R$ 25.688,00;R$ 12.844,00;R$ 12.844,00;Norte;Paula;Sem perda;R$ 0,00;Com Perda;
70;Bola de Futebol;Esportes;Esportes;81;14/05/2022;70;6;R$ 25.200,00;R$ 15.120,00;R$ 10.080,00;Sul;Lucas;Devolução;R$ 193,00;Com Perda;
58;Camisa Polo;Roupas;Roupas;50;12/06/2023;58;1;R$ 2.497,00;R$ 1.423,29;R$ 1.073,71;Nordeste;Rafael;Cancelamento;R$ 272,00;Com Perda;
64;Perfume Masculino;Beleza;Beleza;100;01/07/2021;64;1;R$ 2.511,00;R$ 1.908,36;R$ 602,64;Norte;Paula;Sem perda;R$ 0,00;Com Perda;
43;Sofá 3 Lugares;Móveis;Casa;43;24/04/2024;43;4;R$ 6.820,00;R$ 5.387,80;R$ 1.432,20;Nordeste;Fernanda;Sem perda;R$ 0,00;Com Perda;
33;Geladeira Samsung;Eletrodomésticos;Casa;1;12/01/2024;33;7;R$ 30.611,00;R$ 16.836,05;R$ 13.774,95;Sudeste;Pedro;Desconto;R$ 123,00;Com Perda;
3;iPhone 15;Smartphones;Eletrônicos;70;09/06/2025;3;2;R$ 6.758,00;R$ 5.136,08;R$ 1.621,92;Sudeste;Pedro;Devolução;R$ 476,00;Com Perda;
76;Bicicleta Ergométrica;Esportes;Esportes;72;27/12/2022;76;7;R$ 19.789,00;R$ 10.092,39;R$ 9.696,61;Sudeste;Ana;Sem perda;R$ 0,00;Com Perda;
99;Pen Drive 128GB;Informática;Informática;37;02/08/2022;99;10;R$ 5.850,00;R$ 4.212,00;R$ 1.638,00;Norte;Marcos;Cancelamento;R$ 473,00;Com Perda;
85;Caneta Esferográfica;Papelaria;Papelaria;5;24/10/2018;85;5;R$ 5.885,00;R$ 3.942,95;R$ 1.942,05;Sudeste;Ana;Devolução;R$ 430,00;Com Perda;
46;Cadeira Gamer;Móveis;Casa;65;26/03/2018;46;8;R$ 12.864,00;R$ 7.975,68;R$ 4.888,32;Sul;Bruno;Devolução;R$ 252,00;Com Perda;
28;Headset Gamer Logitech;Acessórios;Informática;37;04/09/2021;28;4;R$ 2.096,00;R$ 1.257,60;R$ 838,40;Sul;Bruno;Devolução;R$ 209,00;Com Perda;
84;Caderno Espiral;Papelaria;Papelaria;2;13/08/2020;84;9;R$ 40.221,00;R$ 28.556,91;R$ 11.664,09;Sul;Lucas;Sem perda;R$ 0,00;Com Perda;
30;Webcam Full HD;Acessórios;Informática;31;27/09/2022;30;2;R$ 6.082,00;R$ 4.683,14;R$ 1.398,86;Sul;Maria;Devolução;R$ 374,00;Com Perda;
23;Mouse Logitech;Acessórios;Informática;12;10/06/2023;23;9;R$ 37.656,00;R$ 25.982,64;R$ 11.673,36;Centro-Oeste;Carla;Sem perda;R$ 0,00;Com Perda;
66;Creme Facial;Beleza;Beleza;31;20/11/2023;66;4;R$ 8.244,00;R$ 5.111,28;R$ 3.132,72;Nordeste;Carlos;Devolução;R$ 82,00;Com Perda;
40;Máquina de Lavar Brastemp;Eletrodomésticos;Casa;20;10/02/2016;40;10;R$ 36.140,00;R$ 19.515,60;R$ 16.624,40;Sudeste;Ana;Desconto;R$ 95,00;Com Perda;
15;Smart TV TCL 43;TVs;Eletrônicos;69;17/04/2019;15;1;R$ 3.165,00;R$ 2.310,45;R$ 854,55;Sul;Bruno;Desconto;R$ 262,00;Com Perda;
4;Samsung Galaxy S21;Smartphones;Eletrônicos;99;07/05/2016;4;2;R$ 9.494,00;R$ 7.215,44;R$ 2.278,56;Nordeste;Fernanda;Cancelamento;R$ 154,00;Com Perda;
70;Bola de Futebol;Esportes;Esportes;46;15/07/2017;70;7;R$ 2.072,00;R$ 1.139,60;R$ 932,40;Norte;Juliana;Sem perda;R$ 0,00;Com Perda;
82;Palheta Limpador;Automotivo;Automotivo;83;10/05/2015;82;4;R$ 19.172,00;R$ 13.228,68;R$ 5.943,32;Sudeste;Ana;Sem perda;R$ 0,00;Com Perda;
81;Bateria Automotiva;Automotivo;Automotivo;15;28/05/2017;81;2;R$ 5.724,00;R$ 3.663,36;R$ 2.060,64;Sudeste;João;Desconto;R$ 144,00;Com Perda;
80;Óleo de Motor;Automotivo;Automotivo;85;06/08/2018;80;2;R$ 9.364,00;R$ 5.431,12;R$ 3.932,88;Norte;Marcos;Sem perda;R$ 0,00;Com Perda;
59;Camiseta Básica;Roupas;Roupas;49;17/10/2025;59;6;R$ 7.866,00;R$ 6.292,80;R$ 1.573,20;Nordeste;Fernanda;Sem perda;R$ 0,00;Com Perda;
84;Caderno Espiral;Papelaria;Papelaria;40;21/03/2017;84;1;R$ 4.813,00;R$ 3.465,36;R$ 1.347,64;Nordeste;Fernanda;Sem perda;R$ 0,00;Com Perda;
75;Esteira Elétrica;Esportes;Esportes;99;20/07/2024;75;2;R$ 8.850,00;R$ 5.487,00;R$ 3.363,00;Centro-Oeste;Carla;Devolução;R$ 471,00;Com Perda;
92;Monitor LG 24;Informática;Informática;79;17/03/2017;92;9;R$ 4.032,00;R$ 2.741,76;R$ 1.290,24;Sudeste;Ana;Cancelamento;R$ 193,00;Com Perda;
5;Samsung Galaxy S22;Smartphones;Eletrônicos;22;05/11/2023;5;9;R$ 6.939,00;R$ 5.134,86;R$ 1.804,14;Centro-Oeste;André;Devolução;R$ 112,00;Com Perda;
12;Smart TV LG 50;TVs;Eletrônicos;74;01/06/2017;12;1;R$ 2.120,00;R$ 1.420,40;R$ 699,60;Nordeste;Fernanda;Sem perda;R$ 0,00;Com Perda;
17;Notebook Dell Inspiron;Notebooks;Informática;57;10/11/2021;17;5;R$ 20.875,00;R$ 11.898,75;R$ 8.976,25;Nordeste;Carlos;Desconto;R$ 129,00;Com Perda;
34;Microondas Panasonic;Eletrodomésticos;Casa;49;18/01/2021;34;2;R$ 698,00;R$ 523,50;R$ 174,50;Sudeste;João;Desconto;R$ 188,00;Com Perda;
1;iPhone 13;Smartphones;Eletrônicos;46;12/03/2024;1;6;R$ 25.890,00;R$ 20.453,10;R$ 5.436,90;Centro-Oeste;André;Desconto;R$ 123,00;Com Perda;
60;Jaqueta Jeans;Roupas;Roupas;38;17/02/2023;60;2;R$ 4.590,00;R$ 3.029,40;R$ 1.560,60;Norte;Juliana;Cancelamento;R$ 234,00;Com Perda;
22;MacBook Pro;Notebooks;Informática;30;14/02/2016;22;8;R$ 1.200,00;R$ 612,00;R$ 588,00;Centro-Oeste;Carla;Cancelamento;R$ 217,00;Com Perda;
51;Tênis Nike;Calçados;Calçados;57;18/08/2023;51;6;R$ 1.554,00;R$ 916,86;R$ 637,14;Norte;Marcos;Devolução;R$ 234,00;Com Perda;
56;Chinelo Havaianas;Calçados;Calçados;24;27/03/2024;56;5;R$ 3.000,00;R$ 1.770,00;R$ 1.230,00;Nordeste;Fernanda;Cancelamento;R$ 170,00;Com Perda;
39;Fogão 5 bocas;Eletrodomésticos;Casa;33;23/09/2019;39;2;R$ 7.988,00;R$ 4.313,52;R$ 3.674,48;Centro-Oeste;Diego;Sem perda;R$ 0,00;Com Perda;
77;Pneu Aro 13;Automotivo;Automotivo;92;08/04/2022;77;7;R$ 4.802,00;R$ 2.881,20;R$ 1.920,80;Sul;Maria;Desconto;R$ 254,00;Com Perda;
7;Xiaomi Redmi Note 11;Smartphones;Eletrônicos;91;24/04/2022;7;9;R$ 27.153,00;R$ 13.848,03;R$ 13.304,97;Norte;Juliana;Devolução;R$ 166,00;Com Perda;
57;Sandália Feminina;Calçados;Calçados;7;24/09/2025;57;5;R$ 16.260,00;R$ 12.682,80;R$ 3.577,20;Centro-Oeste;Carla;Sem perda;R$ 0,00;Com Perda;
70;Bola de Futebol;Esportes;Esportes;96;23/03/2023;70;7;R$ 11.662,00;R$ 6.414,10;R$ 5.247,90;Nordeste;Carlos;Sem perda;R$ 0,00;Com Perda;
3;iPhone 15;Smartphones;Eletrônicos;17;18/03/2015;3;3;R$ 11.310,00;R$ 6.333,60;R$ 4.976,40;Norte;Marcos;Sem perda;R$ 0,00;Com Perda;
64;Perfume Masculino;Beleza;Beleza;59;21/06/2023;64;4;R$ 14.236,00;R$ 9.253,40;R$ 4.982,60;Centro-Oeste;Diego;Desconto;R$ 292,00;Com Perda;
60;Jaqueta Jeans;Roupas;Roupas;80;11/09/2019;60;1;R$ 4.792,00;R$ 3.210,64;R$ 1.581,36;Sudeste;Ana;Sem perda;R$ 0,00;Com Perda;
10;Motorola G200;Smartphones;Eletrônicos;58;26/04/2016;10;6;R$ 4.620,00;R$ 3.003,00;R$ 1.617,00;Centro-Oeste;Diego;Sem perda;R$ 0,00;Com Perda;
66;Creme Facial;Beleza;Beleza;42;04/10/2024;66;7;R$ 31.703,00;R$ 18.387,74;R$ 13.315,26;Centro-Oeste;Diego;Cancelamento;R$ 412,00;Com Perda;
56;Chinelo Havaianas;Calçados;Calçados;78;03/09/2015;56;5;R$ 5.925,00;R$ 4.621,50;R$ 1.303,50;Nordeste;Rafael;Cancelamento;R$ 316,00;Com Perda;
100;Porta Cartão de Couro;Acessórios;Informática;64;12/07/2024;100;6;R$ 20.736,00;R$ 11.612,16;R$ 9.123,84;Sudeste;Pedro;Cancelamento;R$ 165,00;Com Perda;
57;Sandália Feminina;Calçados;Calçados;52;27/07/2025;57;9;R$ 37.413,00;R$ 19.828,89;R$ 17.584,11;Sul;Bruno;Desconto;R$ 154,00;Com Perda;
88;Estojo Escolar;Papelaria;Papelaria;93;04/05/2017;88;10;R$ 36.900,00;R$ 28.044,00;R$ 8.856,00;Centro-Oeste;André;Cancelamento;R$ 225,00;Com Perda;
25;Teclado Mecânico Redragon;Acessórios;Informática;44;09/03/2019;25;8;R$ 30.576,00;R$ 15.288,00;R$ 15.288,00;Centro-Oeste;Diego;Cancelamento;R$ 197,00;Com Perda;
42;Sofá 2 Lugares;Móveis;Casa;70;27/09/2015;42;1;R$ 3.376,00;R$ 2.667,04;R$ 708,96;Norte;Juliana;Cancelamento;R$ 458,00;Com Perda;
26;Teclado Logitech;Acessórios;Informática;42;23/10/2025;26;8;R$ 6.312,00;R$ 3.345,36;R$ 2.966,64;Norte;Juliana;Sem perda;R$ 0,00;Com Perda;
26;Teclado Logitech;Acessórios;Informática;57;22/12/2020;26;5;R$ 7.445,00;R$ 4.764,80;R$ 2.680,20;Nordeste;Fernanda;Sem perda;R$ 0,00;Com Perda;
39;Fogão 5 bocas;Eletrodomésticos;Casa;50;10/05/2015;39;10;R$ 19.760,00;R$ 11.460,80;R$ 8.299,20;Centro-Oeste;André;Sem perda;R$ 0,00;Com Perda;
39;Fogão 5 bocas;Eletrodomésticos;Casa;68;15/05/2024;39;5;R$ 6.795,00;R$ 4.416,75;R$ 2.378,25;Nordeste;Rafael;Desconto;R$ 264,00;Com Perda;
17;Notebook Dell Inspiron;Notebooks;Informática;9;26/01/2022;17;2;R$ 1.422,00;R$ 1.009,62;R$ 412,38;Sudeste;João;Sem perda;R$ 0,00;Com Perda;
10;Motorola G200;Smartphones;Eletrônicos;68;13/06/2019;10;1;R$ 1.832,00;R$ 916,00;R$ 916,00;Norte;Marcos;Desconto;R$ 123,00;Com Perda;
51;Tênis Nike;Calçados;Calçados;54;28/08/2020;51;2;R$ 2.732,00;R$ 1.584,56;R$ 1.147,44;Sudeste;Ana;Cancelamento;R$ 105,00;Com Perda;
38;Fogão 4 bocas;Eletrodomésticos;Casa;67;23/05/2024;38;7;R$ 11.375,00;R$ 7.166,25;R$ 4.208,75;Norte;Juliana;Desconto;R$ 282,00;Com Perda;
57;Sandália Feminina;Calçados;Calçados;13;23/02/2016;57;6;R$ 26.466,00;R$ 16.673,58;R$ 9.792,42;Centro-Oeste;Carla;Devolução;R$ 250,00;Com Perda;
1;iPhone 13;Smartphones;Eletrônicos;43;27/08/2019;1;4;R$ 1.624,00;R$ 1.104,32;R$ 519,68;Sul;Bruno;Cancelamento;R$ 136,00;Com Perda;
88;Estojo Escolar;Papelaria;Papelaria;59;18/05/2025;88;5;R$ 2.305,00;R$ 1.198,60;R$ 1.106,40;Sudeste;Pedro;Sem perda;R$ 0,00;Com Perda;
55;Sapato Social Feminino;Calçados;Calçados;82;15/04/2015;55;8;R$ 13.384,00;R$ 8.164,24;R$ 5.219,76;Nordeste;Fernanda;Desconto;R$ 491,00;Com Perda;
